Punchlist,Facility,City,State,Field,Old,New,Evidence
AHN-01,SAINT ANNE HOME & RETIREMENT COMMUNITY,Fort Wayne,IN,Corporate_Name,SAINT ANNE COMMUNITIES,ADAMS COUNTY MEMORIAL HOSPITAL,ProPublica h-155349: Adams County Memorial Hospital 100% owner since Sep 2016. Diocese retained spiritual role only.
AHN-02,SAINT ANNE HOME,Fort Wayne,IN,Corporate_Name,DIOCESE OF FORT WAYNE SO BEND,ADAMS COUNTY MEMORIAL HOSPITAL,ProPublica h-155349: Adams County Memorial Hospital 100% owner since Sep 2016. Dane Wheeler start Sep 2016 = transfer date.
AHN-04,ADAMS HERITAGE,MONROEVILLE,IN,Corporate_Name,(blank),ADAMS COUNTY MEMORIAL HOSPITAL,ProPublica officer match Smith/Sprunger/Wheeler. adamshospital.org confirms.
AHN-05,ADAMS WOODCREST,DECATUR,IN,Corporate_Name,(blank),ADAMS COUNTY MEMORIAL HOSPITAL,ProPublica h-155747 confirms Adams = owner. Smith/Sprunger/Wheeler officers.
AHN-03,SAINT ANNE - VICTORY NOLL,Huntington,IN,DELETE ROW,,,Closed April 2024. 26 residents relocated. Building being sold. Dead row.
HBV-NC-01,SURRY COMMUNITY HEALTH CENTER BY HARBORVIEW,MOUNT AIRY,NC,Corporate_Name,(blank),HARBORVIEW HEALTH SYSTEMS,ProPublica h-345191 chain=Harborview. Owner=GA NC 14 LLC. Served.
HBV-NC-02,"SURRY COMMUNITY HEALTH CENTER BY HARBORVIEW, LLC.",Mount Airy,NC,Corporate_Name,INDEPENDENT,HARBORVIEW HEALTH SYSTEMS,ProPublica h-345191 chain=Harborview. Same campus as SNF. Served.
HBV-GA-01,HARBORVIEW HEALTH SYSTEMS JESUP,JESUP,GA,Corporate_Name,(blank),HARBORVIEW HEALTH SYSTEMS,Facility name contains Harborview. ProPublica affiliate a-246.
HBV-GA-02,HARBORVIEW HEALTH SYSTEMS THOMASTON,THOMASTON,GA,Corporate_Name,(blank),HARBORVIEW HEALTH SYSTEMS,Facility name contains Harborview. ProPublica affiliate a-246.
HBV-GA-03,HARBORVIEW SATILLA,WAYCROSS,GA,Corporate_Name,(blank),HARBORVIEW HEALTH SYSTEMS,Facility name contains Harborview. ProPublica affiliate a-246.
HBV-FL-01,BAYONET POINT HEALTH CENTER BY HARBORVIEW,HUDSON,FL,Corporate_Name,BENJAMIN LANDA,HARBORVIEW HEALTH SYSTEMS,Harborview branding in name. Website confirms Harborview operation. Landa is indirect owner (FLNHO Capital). Per operator attribution rule.
HBV-FL-02,HERITAGE PARK HEALTH CENTER BY HARBORVIEW,BRADENTON,FL,Corporate_Name,BENJAMIN LANDA,HARBORVIEW HEALTH SYSTEMS,Harborview branding in name. Website confirms Harborview operation. Landa is indirect owner (FLNHO Capital). Per operator attribution rule.
LCS-VA-01,THE VIRGINIAN,Fairfax,VA,Corporate_Name,LIFE CARE SERVICES,COGIR SENIOR LIVING,cogirusa.com/communities lists The Virginian as active Cogir community. LCS was prior management. CHOW from LCS to Cogir confirmed by operator website.
LCS-VA-02,THE VIRGINIAN,FAIRFAX,VA,Corporate_Name,(blank),COGIR SENIOR LIVING,SNF component of CCRC campus. Same address as ALF. cogirusa.com confirms Cogir management.
SLC-VA-01,ASPIRE AT WEST END,Henrico,VA,Corporate_Name,SENIOR LIFESTYLE,VITALITY LIVING,"Vitality Living assumed management Feb 22, 2026 per vitalityseniorliving.com. Confirmed via insideNova and SHN. Acclaim at Belmont Bay (same transition) already coded Vitality."
SP-NC-01,THE GARDENS OF TAYLOR GLEN RET COM,CONCORD,NC,Corporate_Name,STORYPOINT,ThriveMore,taylorglencommunity.org confirms ThriveMore. StoryPoint has zero NC presence. Served facility.
SP-NC-02,TAYLOR GLEN,Concord,NC,Corporate_Name,STORYPOINT,ThriveMore,Same campus as SNF. taylorglencommunity.org confirms ThriveMore. Served facility.
SP-NC-03,ARDENWOODS RETIREMENT COMMUNITY,Arden,NC,Corporate_Name,STORYPOINT,ThriveMore,ardenwoodscommunity.org confirms ThriveMore. Life Plan Community. StoryPoint has zero NC presence.
GEN-KY-01,GENESIS HCR OF ASHLAND TWO,Ashland,KY,Corporate_Name,INDEPENDENT,"GENESIS HEALTH OF ASHLAND, LLC","Local family-owned PCH, NOT Genesis Healthcare Chain 237. Victor Matthew Mitchell owner per KY CHFS. Row 5803 (Ashland One) already coded GENESIS HEALTH OF ASHLAND, LLC. Matching row 5804 to same. Was scripted in V25.9 but never executed — confirmed still INDEPENDENT in V26.0."
GEN-NC-DUP-01,MERIDIAN CENTER,High Point,NC,DELETE ROW,City=High Point (mixed case = V25.9 insert),,Duplicate of CMS-sourced row. V25.9 inserted + V26.0 loader both created rows. Neither served. Keep uppercase/CMS row.
GEN-NC-DUP-02,ABBOTTS CREEK CENTER,Lexington,NC,DELETE ROW,City=Lexington (mixed case = V25.9 insert),,Duplicate of CMS-sourced row. V25.9 inserted + V26.0 loader both created rows. Neither served. Keep uppercase/CMS row.
GEN-NC-DUP-03,MOUNT OLIVE CENTER,Mount Olive,NC,DELETE ROW,City=Mount Olive (mixed case = V25.9 insert),,Duplicate of CMS-sourced row. V25.9 inserted + V26.0 loader both created rows. Neither served. Keep uppercase/CMS row.
GEN-NC-DUP-04,PEMBROKE CENTER,Pembroke,NC,DELETE ROW,City=Pembroke (mixed case = V25.9 insert),,Duplicate of CMS-sourced row. V25.9 inserted + V26.0 loader both created rows. Neither served. Keep uppercase/CMS row.
SABER-OH-DUP-01,ORCHARD GROVE,Bellevue,OH,DELETE ROW,ORCHARD GROVE (duplicate),,"Identical NIC-A duplicate at 670 Flat Rock Rd, Bellevue OH. Same beds (80), census (64), source (NIC-A), corporate name. Keep ORCHARD GROVE ASSISTED LIVING. Delete shorter variant."
CSL-VA-01,ATLANTIC AT CHARTER COLONY,Midlothian,VA,Corporate_Name,CHARTER COLONY SENIOR ASSOC,CAPREIT,NIC MAP operator=CAPREIT. 55+ senior apartments. Charter Colony = subdivision.
CSL-VA-01,ATLANTIC AT CHARTER COLONY,Midlothian,VA,Ownership_Type,Independent,Corporate,NIC MAP operator=CAPREIT. 55+ senior apartments. Charter Colony = subdivision.
CSL-OH-01,MIAMI COV SNF,Covington,OH,Corporate_Name,CHARTER SENIOR LIVING,INDEPENDENT,ProPublica CCN 365483: Slyk 67% / Damico 33%. Charter is ALF-only.
CSL-OH-01,MIAMI COV SNF,Covington,OH,Ownership_Type,Corporate,Independent,ProPublica CCN 365483: Slyk 67% / Damico 33%. Charter is ALF-only.
CSL-OH-02,STILLWATER SKILLED NURSING AND REHABILITATION,COVINGTON,OH,Corporate_Name,CHARTER SENIOR LIVING,INDEPENDENT,Same campus as CSL-OH-01. ProPublica confirms Slyk/Damico.
CSL-OH-02,STILLWATER SKILLED NURSING AND REHABILITATION,COVINGTON,OH,Ownership_Type,Corporate,Independent,Same campus as CSL-OH-01. ProPublica confirms Slyk/Damico.
CSL-NC-01,CHARTER SENIOR LIVING OF CHARLOTTE,Charlotte,NC,Corporate_Name,Thrive Senior Living,CHARTER SENIOR LIVING,Thrive->Charter. charterofcharlotte.com. NC DHSR 970113.
CSL-OH-03,CHARTER SENIOR LIVING OF OAK OPENINGS,Sylvania,OH,Corporate_Name,INDEPENDENT,CHARTER SENIOR LIVING,NIC MAP operator=Charter. charteroakopenings.com. APFM confirms.
CSL-OH-03,CHARTER SENIOR LIVING OF OAK OPENINGS,Sylvania,OH,Ownership_Type,Independent,Corporate,NIC MAP operator=Charter. charteroakopenings.com. APFM confirms.
CSL-WI-01,Cedarhurst of Madison,Madison,WI,Corporate_Name,CEDARHURST SENIOR LIVING,CHARTER SENIOR LIVING,WisBusiness: Charter management since May 2024.
CSL-WI-02,Cedarhurst of Verona,Verona,WI,Corporate_Name,CEDARHURST SENIOR LIVING,CHARTER SENIOR LIVING,WisBusiness: Charter management since May 2024. charterofverona.com.
CSL-IL-01,Cedarhurst of Rockford,Rockford,IL,Corporate_Name,CEDARHURST SENIOR LIVING,CHARTER SENIOR LIVING,SLN: part of 13-community Cedarhurst->Charter transition May 2024.
LHC-IL-01,The Vista at Fox Valley,Aurora,IL,Corporate_Name,Legacy,LEGACY HEALTHCARE,"legacyhc.com Collections page lists The Vista at Fox Valley under Legacy Healthcare brand. NIC MAP operator = ""Legacy"" for Aurora IL. Entity consolidation."
SIN-KY-01,MAGNOLIA SPRINGS LEXINGTON,Lexington,KY,Corporate_Name,MAGNOLIA SPRINGS HEALTH SYSTEM,SINCERI SENIOR LIVING,sinceriseniorliving.com listing. NIC MAP operator=Sinceri. McKnights May 2024.
THS-OH-01,MEADOWS OF DELPHOS THE,Delphos,OH,Corporate_Name,TRILOGY REAL ESTATE DELPHOS II LLC,TRILOGY HEALTH SERVICES,PropCo LLC coded as operator. trilogyhs.com lists this campus. CMS Chain 524. ProPublica a-524 confirms Trilogy affiliation. NIC MAP shows Trilogy Real Estate LLCs as PropCo pattern.
THS-OH-01,MEADOWS OF DELPHOS THE,Delphos,OH,Ownership_Type,Independent,Corporate,"Trilogy is a corporate chain, not independent."
NHC-NC-01,HEARTFIELDS AT CARY,Cary,NC,Corporate_Name,NHC,NATIONAL HEALTHCARE CORPORATION,"Heartfields at Cary NC. GLR confirms Parent Company = NHC. 2 ALF rows at 1050 Crescent Green Dr. 1 served (63 patients). Coded abbreviated ""NHC"" instead of full name. Standardize to ""NATIONAL HEALTHCARE CORPORATION"" per all other 98 NHC rows."
NHC-NC-01,HEARTFIELDS,Cary,NC,Corporate_Name,NHC,NATIONAL HEALTHCARE CORPORATION,"Heartfields at Cary NC. GLR confirms Parent Company = NHC. 2 ALF rows at 1050 Crescent Green Dr. 1 served (63 patients). Coded abbreviated ""NHC"" instead of full name. Standardize to ""NATIONAL HEALTHCARE CORPORATION"" per all other 98 NHC rows."
NHC-SC-01,THE PALMETTOS OF MAULDIN,Greenville,SC,Corporate_Name,NHC HEALTHCARE/MAULDIN LLC,NATIONAL HEALTHCARE CORPORATION,"The Palmettos of Mauldin, Greenville SC. Facility-level LLC coded as corporate name. ProPublica a-364 confirms NHC affiliation. NIC MAP Operator = NHC. Recode to standard corporate name."
